"gene_name","gene_id","baseMean","log2FoldChange","stat","pvalue","padj","B_statistic"
"AP001351.1","ENSG00000248027",-1.49997255726463,3.733531272134,5.40693028381232,9.0692933585235e-06,0.176434032996716,1.48719273489331
"COQ9","ENSG00000088682",4.76858939592543,-0.72057336309799,-4.47957804428654,0.000114412455857775,0.234068676360338,1.17156655234398
"UBFD1","ENSG00000103353",3.82274076138081,-1.09833247471374,-4.23323689222821,0.000223414729616536,0.234068676360338,0.567165436116553
"LIN7B","ENSG00000104863",-0.389435945058489,2.53466700368416,4.08051550360475,0.000337446404392266,0.234068676360338,-0.475464033898963
"SLC22A18","ENSG00000110628",5.07716397314415,-0.907032736143535,-4.02534516220835,0.000391420026358979,0.234068676360338,0.0105767012535081
"NDUFS7","ENSG00000115286",4.97119280110628,-0.703176515971951,-4.37579660445066,0.000151753423310485,0.234068676360338,0.902635676058305
"AL591845.1","ENSG00000116883",-0.796327509221215,3.01319206915953,4.06560845457891,0.000351261592583369,0.234068676360338,-0.523370271407762
"IDE","ENSG00000119912",5.28956143136276,-0.521842419218471,-4.24578113352912,0.000215953118126034,0.234068676360338,0.567688820771618
"ZNF20","ENSG00000132010",0.866093958089198,1.39133704795106,4.34933445697026,0.000163067651560637,0.234068676360338,0.665178663563938
"ARPC5L","ENSG00000136950",3.88147798029585,-0.503247390866048,-4.0189744622385,0.000398175178829557,0.234068676360338,0.0236314282603436
"MAPKBP1","ENSG00000137802",2.90053204639913,1.0748403653496,4.15537977471193,0.000275763380236778,0.234068676360338,0.436428610197932
"SLC39A3","ENSG00000141873",3.21318258968811,-0.584817793817319,-4.40519424514816,0.000140094449962367,0.234068676360338,1.03083328094382
"LHFPL2","ENSG00000145685",3.96613468969424,1.43021349720444,4.38765725273627,0.000146938109557727,0.234068676360338,0.974690546307755
"EBAG9","ENSG00000147654",3.85492388984806,-0.826823112355754,-4.38079572079419,0.0001497050528392,0.234068676360338,0.946485735361883
"ATP5G3","ENSG00000154518",4.88251143358074,-0.886951038825547,-4.10205351466472,0.000318426419317499,0.234068676360338,0.205892402115412
"FBXW5","ENSG00000159069",6.13159128387175,-0.531361908497016,-4.11831897136129,0.000304766502273968,0.234068676360338,0.26322404479823
"KCNK5","ENSG00000164626",3.36854177050903,-1.56156540987621,-4.07412446127297,0.000343302546603689,0.234068676360338,0.175687119858386
"TMEM100","ENSG00000166292",1.93795077153543,-0.976168137256622,-4.17351427694262,0.000262581299265912,0.234068676360338,0.483208348609573
"CDK2AP2","ENSG00000167797",3.97974213438928,-0.799326122909721,-4.07813548800881,0.000339615635069566,0.234068676360338,0.168784873043054
"CLDN20","ENSG00000171217",-1.3483352555715,2.95335286136976,4.02908674214706,0.000387505338952519,0.234068676360338,-0.693789590648293
"COQ2","ENSG00000173085",2.99777257131999,-0.750459354709354,-4.36223089678049,0.00015745291141134,0.234068676360338,0.934698799632139
"SLC35G1","ENSG00000176273",2.27788927663235,-0.916473628421215,-4.00890690111977,0.00040908476386612,0.234068676360338,0.0686114290502093
"MRPL41","ENSG00000182154",4.83131842048676,-0.813323756601818,-4.03497507425985,0.000381422459356001,0.234068676360338,0.0348340851583853
"HMCES","ENSG00000183624",4.02510692392009,-0.751528107453913,-4.58952190624985,8.47716160815728e-05,0.234068676360338,1.46874694081316
"NDUFA6","ENSG00000184983",4.65889331348427,-0.897384222885093,-4.18477687260789,0.00025470957513066,0.234068676360338,0.418373032324692
"DCHS2","ENSG00000197410",-0.960091071310101,4.50391829496341,4.18604259294871,0.000253839623879348,0.234068676360338,-0.39767161108279
"CHML","ENSG00000203668",3.89990735744028,0.564011974347239,4.06256832264967,0.000354146680508407,0.234068676360338,0.137977070964742
"AC009961.1","ENSG00000226266",-0.736396984985817,3.11055211319078,4.16117138324284,0.000271483979322771,0.234068676360338,-0.432494900240542
"C19orf24","ENSG00000228300",4.00456255240241,-0.753161067106793,-4.01902082200626,0.000398125609582407,0.234068676360338,0.0227514041075541
"AP001189.1","ENSG00000236304",-1.25318558783471,4.17268570901252,4.23662038006017,0.000221377418488216,0.234068676360338,-0.273153015498194
"RDH14","ENSG00000240857",3.27029399180373,-0.470403505632544,-4.17127546156903,0.000264174438217844,0.234068676360338,0.442362495196214
"LINC00675","ENSG00000263429",-1.59313594186491,2.80103724367971,4.05464970536283,0.000361771438269326,0.234068676360338,-0.734587299717467
"AC104984.3","ENSG00000265739",-1.99574483988655,2.74907195323011,4.04843930920887,0.000367864235466118,0.234068676360338,-0.767977223048052
"AP000692.2","ENSG00000273199",-1.94374632139327,2.67557425153754,4.07155952120713,0.00034568085866833,0.234068676360338,-0.731883457641928
"AL136379.1","ENSG00000276255",-1.19233837786343,2.86215691382885,3.99691917103459,0.000422458973464707,0.234814767708069,-0.759368379610164
"UQCRC1","ENSG00000010256",6.2847569490952,-0.830035042979146,-3.88018913954348,0.000577317832696386,0.238905566995002,-0.330787807620347
"IKZF5","ENSG00000095574",3.8554419306181,1.31793037867326,3.80428355844159,0.000706599914178074,0.238905566995002,-0.444377595599361
"HMOX2","ENSG00000103415",4.85779749008225,-0.668168371421618,-3.94327934699664,0.000487758929498558,0.238905566995002,-0.198980641029752
"CALB1","ENSG00000104327",-0.732435498998122,3.07283214640341,3.85804999408189,0.000612419177867085,0.238905566995002,-0.944210024371948
"GPI","ENSG00000105220",6.95554419330117,-0.66682806889179,-3.87282383025238,0.000588770766475911,0.238905566995002,-0.30780827632764
"GNRHR","ENSG00000109163",-1.3434645179986,2.8437998573768,3.88512338984487,0.00056976762287919,0.238905566995002,-0.966318285811984
"ACRBP","ENSG00000111644",-0.0809045942802336,2.61034517545396,3.94909471515795,0.000480225847439092,0.238905566995002,-0.590451401964214
"TARS","ENSG00000113407",5.72838930107189,-0.663420705101572,-3.66927541259504,0.00100995352221618,0.238905566995002,-0.870492186801942
"PEX5L","ENSG00000114757",-1.14947930166365,3.25885462475723,3.64581503712795,0.0010742901434175,0.238905566995002,-1.31834264767484
"DLST","ENSG00000119689",5.63435054252335,-0.657705643966683,-3.721125296863,0.000880802745195765,0.238905566995002,-0.742860065116147
"SLC35B1","ENSG00000121073",3.96760474485311,-0.806424694652009,-3.91138921221848,0.0005311774149912,0.238905566995002,-0.242901525421107
"ATPAF1","ENSG00000123472",4.57889854257653,-0.801747848674398,-3.65562118585839,0.0010469266047831,0.238905566995002,-0.90213651884928
