Gene,Log2change,p-value,adj_pvalue
ABCA8,-0.22650852980868,0.0327611941225039,0.0938610039121495
ABCA9,-0.0426443374084937,0.594090033536604,0.721927148593499
ABCB5,0.214124805352847,0.0896565131029992,0.19318944552219
ABCB6,0.0285691521967709,0.580869083672439,0.711506292896079
ABCB7,0.0426443374084937,0.45426428161237,0.602142468262508
ABCB8,0.0840642647884745,0.241790546366669,0.392919637427173
ABCBA,0.176322772640463,0.00297918114384448,0.0161859037603511
ABCBB,-0.0143552929770701,0.740168238187989,0.831717635210074
ABCC8,-0.678071905112638,0.0478732895226622,0.124204888111979
ABCC9,-0.356143810225275,0.00025953273940983,0.00244729525631987
ABCCB,-0.150559676575381,0.341515085714273,0.496702325909526
ABCD1,-0.0143552929770701,0.826806246373785,0.892617057464075
ABCD3,-0.238786859587116,0.00209517580442409,0.0122097083186711
ABCD4,-0.124328135002202,0.24459059723526,0.396583852758089
ABCE1,0.0285691521967709,0.363950163578148,0.518664185787637
ABCF1,0.0285691521967709,0.453594421032623,0.601461518009523
ABCF2,0.20163386116965,0.0086635642366393,0.0352346528713725
ABCF3,-0.070389327891398,0.00297556974890266,0.0161859037603511
ABCG8,0.20163386116965,0.0227983022534899,0.0724280909529428
ABD12,0.111031312388744,0.0649899001367105,0.154866127637865
ABHD2,0.298658315564515,0.00749919132806983,0.0320965388841389
ABHD4,0.0426443374084937,0.817503398358831,0.885676582893606
ABHD5,0.16349873228288,0.0725983231622833,0.167708187091723
ABHD6,0.070389327891398,0.359517443330733,0.514340275472603
ABHDA,-0.214124805352847,0.00426689681681346,0.0213733244972242
ABHDB,0.176322772640463,0.00714189152069022,0.0309680438555057
ABHEB,-0.356143810225275,1.15276922626953e-05,0.000197793632943886
ABHGA,0.0143552929770701,0.750934219530742,0.84026103518734
ABI1,-0.124328135002202,0.0493477686233226,0.126979027880453
ABI2,0.27500704749987,0.00748117397505388,0.032037223070492
ABI3,0.150559676575381,0.0800114230959701,0.178589566020111
ABL1,0.485426827170242,0.0491911053345033,0.126743056816838
ABLM1,0.0285691521967709,0.430786543746969,0.580307664456487
ABLM2,-0.111031312388744,0.119679411127672,0.23814547571769
ABLM3,-0.0840642647884746,0.0726648401495548,0.167708187091723
ABR,0.0840642647884745,0.182749243956995,0.323357872173792
ABRAL,-0.333423733725192,0.0910126034831219,0.195190234834019
ACACA,-0.111031312388744,0.0253785492010375,0.0780816066472815
ACACB,-0.137503523749935,0.011204808042925,0.0430470032255938
ACAD8,-0.137503523749935,0.0280102238632339,0.0836074252779364
ACAD9,0.0426443374084937,0.357285182218344,0.512059870040332
ACADL,-0.111031312388744,0.395008063963215,0.547721764717892
ACADM,0.070389327891398,0.436778685538166,0.58704518377286
ACADS,-0.22650852980868,0.0361407898500892,0.100724870070427
ACADV,0.0976107966264223,0.29266532364082,0.448071075780778
ACAP1,0.137503523749935,0.105514864217265,0.218243243495113
ACAP2,-0.0976107966264223,0.0786266359156663,0.176600467374429
ACATN,-0.137503523749935,0.163216642710777,0.298744301184829
ACBD4,0.0565835283663675,0.832712619331034,0.897037582242647
ACBD5,0.0565835283663675,0.555851256442661,0.691069632825911
ACBD6,-0.0426443374084937,0.654498075032318,0.770152924236778
ACBG1,-0.941106310946431,0.00033470965402754,0.0029844944150789
ACBG2,-1.16349873228288,0.00110731584355736,0.0075260386372938
ACBP,-0.918386234446348,1.150959942886e-12,5.9766735235198e-10
ACD10,0.124328135002202,0.127869267717738,0.250379416333589
ACD11,-0.137503523749935,0.0845150231197986,0.186189230230177
ACDSB,-0.37851162325373,0.00038814704539899,0.00335987060421777
ACE,-0.028569152196771,0.722313693778406,0.81754511500482
ACES,0.622930350920177,0.00047306655165878,0.00388954611950826
ACINU,0.150559676575381,0.0215043961650779,0.069405055741835
ACL6A,-0.176322772640463,0.0337022871147088,0.095950635599304
ACLY,-0.20163386116965,0.00142221591395954,0.00901790238777308
ACMSD,-0.111031312388744,0.154550173768216,0.286835591113066
ACO12,0.111031312388744,0.232196859987749,0.381262949177417
ACO13,-0.333423733725192,0.00412031221686181,0.0208286649072857
ACOC,-0.36737106564853,3.3535769330317e-10,5.87180833910823e-08
ACOD,-0.454175893185802,0.020998364696359,0.068257975367405
ACON,-0.0840642647884746,0.31015364276868,0.46577459335086
ACOT1,-0.150559676575381,0.119068561521059,0.237223097185416
ACOT2,-0.704871964456353,0.0007032262677884,0.00526497100781519
ACOT4,-0.028569152196771,0.871687648873364,0.92232957655822
ACOT8,0.0426443374084937,0.650881855580427,0.766695827627824
ACOT9,0.176322772640463,0.00136402987923427,0.00878635969031841
ACOX1,-0.214124805352847,0.0109139868890232,0.0421883366748794
ACOX2,-0.298658315564515,0.00017563426204511,0.00176873875098973
ACOX3,0.0285691521967709,0.661704555929414,0.774501959720481
ACPH,-0.150559676575381,0.00035291267014342,0.00311080001233971
ACPM,-0.422233000683048,1.33681297463897e-05,0.000222917903822914
ACS2A,-0.263034405833794,0.0181660806470435,0.0610342282184139
ACS2B,-0.16349873228288,0.116028437204406,0.233385679462633
ACS2L,0.070389327891398,0.283451600327745,0.437396096407074
ACSA,-0.321928094887362,0.00077841532874885,0.00571678903020128
ACSF2,-0.0565835283663676,0.447917568389485,0.596500768690163
ACSF3,0.150559676575381,0.00702576949125033,0.0306839728801545
ACSL1,-0.454175893185802,3.59303550820136e-05,0.00048392911809761
ACSL3,-0.150559676575381,0.00538409519583251,0.0253075469119546
ACSL4,-0.55581615506164,0.00013294596179366,0.00141331943937775
ACSL5,0,0.944684406832345,0.966606838090658
ACSL6,-0.27500704749987,0.0613859981793204,0.148891071903315
ACSM1,0.070389327891398,0.764870644852848,0.849728637375295
ACSM3,-0.137503523749935,0.0702907232129483,0.164395789809518
ACSM5,-0.0976107966264223,0.299308436916826,0.455166245165264
ACSS3,0.176322772640463,0.123271430293973,0.243508486919171
ACTA,-0.0426443374084937,0.492403466557107,0.637309967960967
ACTB,-0.20163386116965,0.00028620524230786,0.0026311756405009
ACTBL,-0.124328135002202,0.310719727182139,0.466268086455242
ACTBM,0.070389327891398,0.257871680473873,0.411568971694783
ACTC,1.18269229751619,0.00051769592215823,0.00416197414484219
ACTG,-0.22650852980868,0.206267459754402,0.351377405403069
ACTN1,-0.0976107966264223,0.0157496504205458,0.0550773067816091
ACTN2,-0.321928094887362,1.15138865057081e-05,0.000197793632943886
ACTN3,-0.604071323668861,6.48783471736395e-07,2.14516217435931e-05
ACTN4,-0.028569152196771,0.510103355673782,0.653230759991824
ACTY,-0.0976107966264223,0.035867766502684,0.100226794753964
ACTZ,-0.137503523749935,0.00043137948959565,0.00365044345476539
ACY1,-0.400537929583729,8.24280066881503e-07,2.54010145410204e-05
ACY2,-0.389566811762726,5.29879515010228e-05,0.000665936669435367
ACY3,-0.411426245726465,0.00010952664668767,0.00121584046985852
ACYP1,-0.16349873228288,0.0422467050539921,0.113324726927561
ACYP2,-0.250961573533219,4.55990567275651e-05,0.000587831168337373
ADA,0.070389327891398,0.445748267368811,0.594845773741438
ADA10,0.070389327891398,0.256606535425628,0.409906250630691
ADA17,-0.0426443374084937,0.642706275405975,0.760353659242739
ADA2A,-0.0426443374084937,0.696211225888618,0.799226834189527
ADAL,-0.36737106564853,0.0230286947299885,0.0730395488677774
ADAM9,0.16349873228288,0.0478679698197513,0.124204888111979
ADAP1,0.678071905112638,0.00047473346087697,0.00389713533665475
ADAP2,0.0565835283663675,0.456585138427601,0.603971824595851
ADAS,0.0976107966264223,0.0626658406227506,0.150868011299272
ADCK1,0.070389327891398,0.570159248023267,0.702127053512028
ADCK5,0.37851162325373,0.0135781057449061,0.0496232099899225
ADCY1,-0.454175893185802,0.00186853899353188,0.0110308232997468
ADCY9,-0.0143552929770701,0.899195488540141,0.940206233252329
ADDA,-0.137503523749935,0.0221718967366821,0.0710238222284403
ADDG,-0.111031312388744,0.0831305203140281,0.184086671025948
ADH1A,-0.613531652917927,4.47106420937905e-05,0.000580861360355079
ADH1B,-0.505890929729957,0.00021574924463744,0.00209865174329146
ADH1G,-0.632268215499513,1.45754381535473e-05,0.000237871363405073
ADH4,-0.344828496997441,0.039785776782938,0.108557271147285
ADH6,-0.37851162325373,0.00330461146180116,0.0175094406476727
ADH7,0.0426443374084937,0.76736616841635,0.850232497482074
ADHX,-0.36737106564853,1.14758843759304e-06,3.23846934916366e-05
ADIPO,0.27500704749987,0.372830642970833,0.52750914112898
ADIRF,-0.422233000683048,0.00038316958527619,0.00332051573112235
ADK,-0.344828496997441,2.27351982118067e-06,5.45644757083361e-05
ADNP,-0.0426443374084937,0.433890229454405,0.583978044674482
ADPGK,0.137503523749935,0.239594088937822,0.390404581467213
ADPPT,-0.0143552929770701,0.853919093685365,0.910153942688441
ADPRH,-0.070389327891398,0.385758372319844,0.539753450844911
ADRM1,0.176322772640463,0.203440615032829,0.347981016477112
ADRO,0.16349873228288,0.0755280385145644,0.171845247701183
ADSV,0.55581615506164,0.0150251909545592,0.053092459127065
ADT1,-0.495695162624069,2.54380489146581e-06,5.93485278277553e-05
ADT2,-0.22650852980868,0.00127629022158347,0.00834680803656965
ADT3,0.321928094887362,0.00641146235464661,0.0287802180861764
ADX,-0.124328135002202,0.266432109224238,0.420699522333169
AEBP1,0.344828496997441,0.00059287706876391,0.0045997229987484
AEDO,-0.53605290024021,0.00095045495835068,0.00672387970535688
AES,0.333423733725192,0.0554015617488401,0.138534416884404
AF10,-0.0143552929770701,0.937217742697822,0.963964705102236
AFAD,0.0285691521967709,0.330834839046237,0.486310169817251
AFAM,0.214124805352847,0.00299174551782461,0.0162093529778646
AFAP1,-0.214124805352847,0.108360765923645,0.222142453612496
AFF4,0.111031312388744,0.754827460148403,0.842781268548304
AFG32,-0.0976107966264223,0.178649806388718,0.31888742085697
AFTIN,0.0565835283663675,0.44113970741847,0.590964960909922
AGAL,0.422233000683048,0.00052677973338226,0.00421861857170159
AGAP3,0.189033824390017,0.0144061587829315,0.0516863898256373
AGFG1,-0.0840642647884746,0.141184501650642,0.268100912180563
AGFG2,-0.189033824390017,0.00851628291005799,0.0348615534214064
AGK,-0.0565835283663676,0.334596656135356,0.489504868755561
AGM1,-0.189033824390017,0.00950019886964222,0.0379220373532247
AGO1,-0.124328135002202,0.00065036408054432,0.0049461055049491
AGO2,-0.124328135002202,0.033778074671424,0.0959789664131823
AGO3,0.0976107966264223,0.0631532396928858,0.151567775262926
AGR2,-0.443606651475615,0.0870418060945733,0.189694504710776
AGRA2,0.150559676575381,0.104588559969091,0.216832687298675
AGRE2,0.7311832415722,0.00438508963610349,0.0218093806046103
AGRF5,0.070389327891398,0.445411384136035,0.594800408407195
AGRIN,-0.0426443374084937,0.548254588796585,0.685007030828558
AGRL2,-0.214124805352847,0.00814391792588123,0.033859009012946
AGT2,-0.400537929583729,3.29078381810168e-05,0.000451106735492088
AHDC1,-0.27500704749987,0.00866688307259227,0.0352346528713725
AHNK,-0.189033824390017,0.00411711568612711,0.0208261715337645
AHR,-0.0143552929770701,0.865084693375878,0.917861587851391
AHSA1,0.124328135002202,0.30532613644777,0.460229417960012
AHSP,-0.31034012061215,0.0718242630115282,0.166717120289489
AIDA,0.22650852980868,0.00110666142057384,0.0075260386372938
AIF1,0.0976107966264223,0.452796591076367,0.600841581123287
AIFM1,0.111031312388744,0.193264136309626,0.335339393272378
AIFM2,0.137503523749935,0.0692164772387879,0.162592477507737
AIG1,-0.37851162325373,0.012544517602704,0.0469596519005013
AIM1,0.286881147788162,0.28951157853769,0.444251016878523
AIMP1,-0.0426443374084937,0.371824571953608,0.526375689513156
AIMP2,-0.176322772640463,0.00028976055648139,0.00265751824658646
AINX,-0.400537929583729,0.00220067870390723,0.012737812723442
AIP,-0.22650852980868,3.14877643902363e-05,0.000437873171231734
AK17A,0.214124805352847,0.0548299360217259,0.137503198929484
AK1A1,-0.189033824390017,0.00417328280102947,0.0209862733023049
AK1BA,0.27500704749987,0.11637698615974,0.233923232664971
AK1BF,-0.344828496997441,0.0532806522691642,0.134625826527268
AK1C1,0.0426443374084937,0.760565666607167,0.846856177994163
AK1C2,0.111031312388744,0.450551802182636,0.599180232006737
AK1C3,-0.028569152196771,0.832763861396601,0.897037582242647
AK1C4,-0.516015147003665,1.89163736871562e-09,1.96934787683583e-07
AK1D1,-0.389566811762726,1.56929386429996e-05,0.000251245467282231
AKA10,0.0426443374084937,0.425799309741268,0.575804437817576
AKA11,0.0143552929770701,0.957808453250774,0.973793901035252
AKA12,-0.176322772640463,0.0146531225783639,0.0523112401963464
AKA7A,-0.485426827170242,0.00066262200460683,0.00501950828268537
AKA7G,0.27500704749987,0.0492396117669776,0.126743056816838
AKAP1,0.0285691521967709,0.615073930540247,0.737858854076933
AKAP2,0,0.917503563807014,0.95352049852546
AKAP8,0.0285691521967709,0.694505937938986,0.798446098032555
AKAP9,0.0143552929770701,0.695787939041139,0.799171421206985
AKIB1,0.111031312388744,0.214370360620953,0.360181855711743
AKIP,0.367371065648529,0.0459329499572835,0.120445012413517
AKNA,-0.070389327891398,0.454406541035044,0.602227419943915
AKP13,0.0840642647884745,0.277436147911726,0.431529998690074
AKP8L,0.0143552929770701,0.861075480099981,0.914870431483968
AKT1,-0.238786859587116,0.00331019256486652,0.0175175297556993
AKT2,-0.20163386116965,0.0072039821977369,0.0311270212290326
AKT3,0.0285691521967709,0.872767341579979,0.922568661575442
AKTIP,-0.16349873228288,0.0232655334620322,0.0734881794963083
AKTS1,-0.0143552929770701,0.876716660665368,0.924982902460421
AL1A1,-0.6959938131099,1.88510806414032e-15,3.63071813153426e-12
AL1A2,-0.298658315564515,0.109602627600961,0.223642282260587
AL1A3,0.16349873228288,0.0739497656295705,0.169614539631099
AL1B1,-0.0143552929770701,0.904994439573133,0.943447518602357
AL1L1,-0.124328135002202,0.144241058943715,0.272628341045726
AL1L2,0.333423733725192,4.36621975896175e-07,1.52205235398377e-05
AL3A1,0.238786859587116,0.0451058660322397,0.118908343591161
AL3A2,0.0285691521967709,0.757281292295747,0.844541846532489
AL3B1,0.111031312388744,0.262674972220486,0.416312152383008
AL4A1,-0.0565835283663676,0.521952023696648,0.663550889531184
AL5AP,0.27500704749987,0.119690976373169,0.23814547571769
AL7A1,-0.22650852980868,0.00210291497628788,0.0122455457122614
AL8A1,-0.526068811667588,4.31936733980966e-09,3.96147690308257e-07
AL9A1,-0.20163386116965,0.00122894249588013,0.00809706733769601
ALAT1,-0.344828496997441,8.67079223368681e-06,0.000156074260206363
ALAT2,-0.0426443374084937,0.579540479139575,0.710386611183975
ALBU,0.137503523749935,0.359412989874758,0.514286343609795
ALDH2,-0.344828496997441,0.00172973523563731,0.010427136350039
ALDOA,-0.028569152196771,0.662236036389939,0.775006292624653
ALDOB,-0.650764559116902,1.85662892234334e-07,7.81610339766836e-06
ALDOC,-0.286881147788162,2.06651377658825e-05,0.000312165139898743
ALDR,0.0143552929770701,0.824230062240051,0.891209599929453
ALG1,0,0.997025294638016,0.997911670806301
ALG11,0.0285691521967709,0.853885664063933,0.910153942688441
ALG12,-0.250961573533219,0.0058306416920307,0.0268495299434576
ALG13,-0.0426443374084937,0.455970772898094,0.603479898792314
ALG1L,-0.526068811667588,8.7464414788173e-06,0.00015706896306016
ALG2,0.150559676575381,0.0371690153816377,0.103003631115157
ALG3,-0.27500704749987,0.0377987550645026,0.104298570564802
ALG5,-0.16349873228288,0.00967445854088023,0.0383860945746405
ALG6,0.16349873228288,0.656277285599449,0.771367076721108
ALG9,0,0.986078698898952,0.992261010490795
ALKB4,0.31034012061215,0.282852158099157,0.436954687386386
ALKB5,0.27500704749987,0.106840154342575,0.220121604600256
ALKB7,0.150559676575381,0.359403509598157,0.514286343609795
ALKMO,-0.214124805352847,0.00050936178003516,0.0041133366387745
ALR,0.344828496997441,0.0293723744226021,0.086632761313831
ALS,-0.150559676575381,0.0417182608860728,0.112341973884935
ALS2,0.150559676575381,0.353875727065594,0.509200336442536
AMACR,0.124328135002202,0.169785468783938,0.307120744661061
AMBP,-0.475084882948783,0.0001758636920117,0.00176873875098973
AMFR,0.16349873228288,0.0515673877403088,0.131243857004076
AMOL1,-0.124328135002202,0.652368980740292,0.768126337707964
AMPB,-0.286881147788162,7.66144339937536e-09,6.41562608138998e-07
AMPD2,-0.0565835283663676,0.18183782083889,0.322337453231203
AMPD3,-0.111031312388744,0.131486382484143,0.255092191049569
AMPE,-0.124328135002202,0.155772038943249,0.288200717583763
AMPH,0.400537929583729,6.5504367693634e-05,0.000787751561873705
AMPL,-0.0976107966264223,0.103464881777011,0.215547173934584
AMPN,-0.0565835283663676,0.247987227220469,0.400216327771603
AMRP,0.0285691521967709,0.700136950632342,0.80156262756723
AN13A,0.0426443374084937,0.445037210439991,0.594800408407195
AN32A,0,0.944380530656838,0.966587964418796
AN32B,-0.344828496997441,0.00024623200143954,0.00234193992480274
AN32E,-0.20163386116965,0.0017004193550329,0.0103149848119476
ANAG,-0.238786859587116,0.00424022037010211,0.0212535183677727
ANCHR,0.0840642647884745,0.228649852682607,0.377198814789466
ANDR,-0.333423733725192,0.013686925262586,0.049902542462358
ANFY1,-0.0426443374084937,0.304898967465311,0.459675468757878
ANGE1,-0.16349873228288,0.272058052172189,0.426094916143231
ANGE2,0.111031312388744,0.466449426170032,0.612844634423299
ANGI,0.137503523749935,0.0503323451860689,0.128824048941354
ANGL1,0.111031312388744,0.352800903790688,0.508436648635035
ANGL2,-0.028569152196771,0.847763952363814,0.906328196183702
ANGL3,-0.27500704749987,0.00146378711665803,0.00919307047057946
ANGL4,-0.250961573533219,0.00644487378450121,0.028843871557851
ANGL6,-0.250961573533219,0.0256518196300998,0.0786084401075135
ANGL8,0.400537929583729,0.0429107346705858,0.114547574463684
ANGT,-0.0426443374084937,0.584398941757751,0.71414234363325
ANK1,0.22650852980868,0.0652372737382309,0.155167631021714
ANK2,-0.298658315564515,7.26954698183468e-06,0.000135933470747705
ANK3,-0.31034012061215,4.34954786647405e-05,0.00056794774175112
ANKH1,0.0426443374084937,0.483857402968652,0.628394712149443
ANKL2,0.432959407276106,0.0135748368194024,0.0496232099899225
ANKY2,-0.0840642647884746,0.31790260103046,0.474022936929436
ANKZ1,0.20163386116965,0.0878436573103427,0.191111530196555
ANM1,-0.124328135002202,0.0168549080582884,0.0579688445004705
ANM3,0.344828496997441,0.0957863798506605,0.203400846298095
ANM5,-0.189033824390017,1.16784527086979e-06,3.27166544246577e-05
ANO1,-0.0565835283663676,0.377301069113825,0.531880592214622
ANO10,0.176322772640463,0.0543648651311001,0.136737486441396
ANO6,0.0285691521967709,0.693722054152563,0.798054000628786
ANPRB,0.356143810225275,0.0737524666993726,0.169406381470473
ANPRC,-0.53605290024021,0.00096754305314715,0.00678248560641096
