"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significance"
2072.41569550728,5.33723758126359,0.418744355822516,12.7458137812508,3.28940328513317e-37,5.40350277648825e-33,"FGF13","Significant"
994.145151853431,5.20974914852723,0.434016657521645,12.0035695825048,3.40296618614798e-33,2.79502627699265e-29,"CREB5","Significant"
298.881034676832,7.3045284280659,0.635520333580611,11.4937761108463,1.41776211741643e-30,7.76319276759992e-27,"KRT23","Significant"
1188.25987357874,-4.87156718343041,0.445414240691048,-10.9371608233098,7.65600094480363e-28,3.14412818800723e-24,"SPINK1","Significant"
4574.57550290384,6.08471265133704,0.557530900080417,10.9136778794851,9.91615833190201e-28,3.25785465836309e-24,"BICC1","Significant"
5075.44831801453,4.35516635490439,0.40790225948701,10.6769851198706,1.30439246493887e-26,3.57120917025848e-23,"DTNA","Significant"
1211.38473355075,5.42875289685654,0.525834264849216,10.324075967954,5.48443176540098e-25,1.28703943728917e-21,"GPRIN3","Significant"
314.773904240732,4.7060320205803,0.470417038035758,10.0039574251615,1.4642584897655e-23,2.74160694135404e-20,"SOX4","Significant"
405.067269495238,5.6071911062323,0.560638742746996,10.0014335055733,1.50206747867452e-23,2.74160694135404e-20,"LINC02331","Significant"
381.203802017074,5.30351845501592,0.536583055699267,9.88387240089879,4.89056500858411e-23,8.03373113960111e-20,"NRG2","Significant"
673.538413572161,5.95429490205564,0.612802326888226,9.71650178335843,2.56440470759942e-22,3.82958873924869e-19,"AKR1B10","Significant"
214.605901046228,4.79233626778069,0.497386837288834,9.63502832906244,5.68763097038826e-22,7.785892829214e-19,"ITGA2","Significant"
296.267288463683,4.43281048376725,0.46173346335556,9.60036652217634,7.96606408703005e-22,1.00660411352033e-18,"PFKP","Significant"
95954.1784894725,-5.39572407641367,0.567608402234182,-9.50606801304454,1.98005610931498e-21,2.32331297912265e-18,"SAA2","Significant"
489.857642348482,4.34883022880643,0.458589568318721,9.48305528350786,2.46944574175477e-21,2.70437234665371e-18,"IGF2BP2","Significant"
516.392551905483,3.89969518160876,0.412260060327307,9.45930871526254,3.09985714127143e-21,3.18258457872911e-18,"RASEF","Significant"
188428.526585011,-5.69776815118471,0.60958426912351,-9.34697373240493,9.01913378876303e-21,8.71513592635355e-18,"SAA1","Significant"
210.60601864862,7.21821098701023,0.78058104572966,9.24722810847002,2.30389717343587e-20,2.06347756858519e-17,"CXCL8","Significant"
338.475510531514,5.69198474524051,0.61578555799348,9.24345280812964,2.38668495788145e-20,2.06347756858519e-17,"LGALS3","Significant"
241.380986019676,6.64721204142705,0.731011799872131,9.09316654339887,9.61957385428601e-20,7.90103698521781e-17,"BDKRB2","Significant"
187.320508320041,4.99994485384939,0.554061546149948,9.0241686841343,1.81064857720219e-19,1.41635829417621e-16,"CA12","Significant"
510.789607505119,4.30771426368552,0.490307851359329,8.78573380324794,1.55347079484213e-18,1.15994839758508e-15,"STK39","Significant"
1575.06124263197,3.41643697975668,0.3994400072278,8.55306658806534,1.19860704291362e-17,8.56065995388783e-15,"FMNL2","Significant"
160.099213959509,4.38983038283692,0.523781316825067,8.38103659261111,5.24635851856579e-17,3.59091380768668e-14,"KRT7","Significant"
245.756160829621,5.13077251220009,0.613725232017615,8.3600481852974,6.26926451894138e-17,4.119408330106e-14,"PMEPA1","Significant"
256.006830666546,4.94752123497267,0.600510484862556,8.23885903691598,1.73860633684923e-16,1.09846485751624e-13,"TESC","Significant"
152.901721624791,-4.54417484232392,0.556048756091405,-8.17225970302671,3.02666125602643e-16,1.84144312787949e-13,"ARL4D","Significant"
358.889086798064,4.59236799819068,0.572010310239549,8.02847066911691,9.86952007697816e-16,5.79023593944715e-13,"AP000424.1","Significant"
219.91070221203,4.31101284345844,0.537831593084291,8.01554408274191,1.09650529395052e-15,6.00409748790841e-13,"PDGFA","Significant"
2007.66877757234,3.15583477998456,0.393537034618605,8.01915576520777,1.06474416273783e-15,6.00409748790841e-13,"DISC1FP1","Significant"
333.740679088501,3.88651148543316,0.486448040803676,7.98957166938555,1.35408389275764e-15,7.17533422784828e-13,"DUSP5","Significant"
105.654773927178,4.78923461593256,0.601395262729871,7.96353897799781,1.67187314637397e-15,8.58245630483914e-13,"LIPH","Significant"
406.739262055008,3.62596823724931,0.455902500122386,7.95338528802962,1.81482819441641e-15,9.0339947726298e-13,"LINC02698","Significant"
612.975925588902,-3.61585581227034,0.455130970278401,-7.94464900962143,1.94741403193184e-15,9.4088736183954e-13,"PKD1L3","Significant"
128.352510549967,4.81229843512199,0.606214685822177,7.93827425773317,2.05013629429834e-15,9.62216825898251e-13,"EMP1","Significant"
2300.81160159704,-3.05388306441325,0.385866799402332,-7.91434523297522,2.48557702502485e-15,1.13418260528009e-12,"HSD17B6","Significant"
614.586861950101,-3.18672428154271,0.403072462190164,-7.90608285226703,2.65614430795713e-15,1.17925628504897e-12,"CFHR5","Significant"
882.633901078932,4.56200756017253,0.578338624090172,7.88812534758399,3.06759571948568e-15,1.29208704830747e-12,"DCDC2","Significant"
1057.59060799014,-3.30505323018111,0.418915720753631,-7.88954213567183,3.03297218418585e-15,1.29208704830747e-12,"LINC02456","Significant"
4530.91695926184,3.56402638988702,0.453508142036197,7.85879251006382,3.87854088811383e-15,1.59281977922615e-12,"KLHL29","Significant"
163.505580778466,4.2673612064422,0.543848339049834,7.84660152478864,4.27462722962852e-15,1.71266589027092e-12,"PTCHD4","Significant"
310.928364366485,3.49412203021179,0.450909159023329,7.74905978352728,9.25754295691921e-15,3.62080138460266e-12,"PTPN14","Significant"
140.326344578368,4.43088989828096,0.57887329171425,7.65433465613782,1.94315647076243e-14,7.42330961516616e-12,"CDH6","Significant"
2320.68706518412,2.86217623463953,0.374579866078852,7.64103064214622,2.15489765746473e-14,8.04511450435754e-12,"CHST9","Significant"
1068.30947670314,5.34296644310539,0.700394408534274,7.6285109903814,2.37480601755226e-14,8.66909743340689e-12,"COL4A1","Significant"
367.026001223361,3.45799507778732,0.454001045153931,7.61671171178664,2.60219626036026e-14,9.17408525232836e-12,"RAB3B","Significant"
851.433134152223,3.09557672788334,0.406478754626829,7.61559292496175,2.62483720009395e-14,9.17408525232836e-12,"HKDC1","Significant"
623.474735609702,3.11111694724952,0.408976827937931,7.60707388468884,2.80371049265769e-14,9.59511505476829e-12,"ROBO1","Significant"
146.430221095507,-4.03357516714794,0.530729126870141,-7.60006369150128,2.95985038980835e-14,9.92274741905749e-12,"BBOX1","Significant"
330.229495935334,3.75212481957667,0.494970239123092,7.58050590319142,3.44210103034966e-14,1.13086787251108e-11,"CSGALNACT1","Significant"
105.525083808399,-5.09815255248245,0.675081760434844,-7.55190386005771,4.28941085188155e-14,1.38161082478153e-11,"AVPR1A","Significant"
316.98671243679,3.28961262667066,0.437323672186295,7.52214626348724,5.38842533831921e-14,1.70222428908788e-11,"LINC02006","Significant"
419.736600381058,4.19638602726298,0.561900461823057,7.46820177660652,8.12981171668172e-14,2.51978145414963e-11,"TMEM178B","Significant"
674.345911664722,3.4344123877885,0.460295342370208,7.46132335405265,8.56577459237953e-14,2.60574035609294e-11,"BCL2","Significant"
1084.58187470707,-3.34459811191604,0.44909421133423,-7.44743091205619,9.5175360674704e-14,2.84262845418793e-11,"AP002026.1","Significant"
267.835599388587,3.7723507353641,0.510449526483236,7.3902521985942,1.46550579107363e-13,4.22348484736254e-11,"LRRC1","Significant"
153.718172136755,4.02145170762011,0.544114932237569,7.3908129870332,1.45933752361576e-13,4.22348484736254e-11,"DAGLA","Significant"
1477.75539979028,-3.83837216692636,0.519942951381967,-7.38229483970168,1.55584170052458e-13,4.40651924388229e-11,"MT1M","Significant"
145.126564508591,3.60424715678664,0.489434337853387,7.36410766068136,1.78335729211666e-13,4.96528987077972e-11,"PIWIL4","Significant"
