"gene_name","gene_id","baseMean","log2FoldChange","stat","pvalue","padj","B_statistic"
"CCDC80","ENSG00000091986",5.06891412451235,3.02462453327007,7.72465531681233,2.02140076608109e-08,1.20636099416985e-05,9.40576106315811
"DIRAS2","ENSG00000165023",0.227490947542152,2.77374373386063,7.70786720079085,2.10837225258429e-08,1.20636099416985e-05,8.56710104149157
"SVEP1","ENSG00000165124",5.81842864785069,2.18315543594382,7.71649017955078,2.06323387644322e-08,1.20636099416985e-05,9.3771750250287
"AL365181.3","ENSG00000272405",0.774919889370477,3.97411347879394,7.50765285757605,3.49393959560569e-08,1.94203145408323e-05,8.28926418483234
"KIAA1324L","ENSG00000164659",2.48344167496229,2.75377130152265,7.45300696832262,4.01388581111452e-08,2.11043606944384e-05,8.68502975307904
"SLIT3","ENSG00000184347",3.9320401576597,1.76212288942022,7.46353912171745,3.9078726577639e-08,2.11043606944384e-05,8.76868379939816
"GUCY1A3","ENSG00000164116",4.30746406498393,1.75062602691509,7.41679756984016,4.40124297980877e-08,2.19543028023589e-05,8.63926550302197
"FAM78B","ENSG00000188859",0.938578696001016,2.04519821897507,7.41951879501749,4.37085146354886e-08,2.19543028023589e-05,8.30693996344813
"GAS1","ENSG00000180447",2.41286604290938,2.47502170388707,7.40092241535412,4.58288430830851e-08,2.22888578334584e-05,8.56861940666688
"SGIP1","ENSG00000118473",1.40724441591373,2.51273783092986,7.37944240507264,4.84088365013187e-08,2.29694025682111e-05,8.34020857254235
"CD24","ENSG00000272398",4.84971098878512,3.70656430697062,7.36902240222413,4.97132262938987e-08,2.30266929600358e-05,8.53853517842193
"ESR1","ENSG00000091831",4.09307675868128,-2.26282925746054,-7.25952347956689,6.57902759838641e-08,2.9750823607639e-05,8.25846303586445
"NAP1L1","ENSG00000187109",6.29206699488542,0.847107203822911,7.25074664418454,6.72887960695033e-08,2.9750823607639e-05,8.21353146173198
"PLCE1","ENSG00000138193",3.09963020354943,1.63503629356635,7.22871260615275,7.12058084286791e-08,3.07830621593672e-05,8.19736722727521
"FBLN5","ENSG00000140092",5.65778602313873,1.7207677406475,7.17110407128261,8.2580861745441e-08,3.49245235738219e-05,8.00737700612529
"ADRB2","ENSG00000169252",2.68151950850194,-1.73945643811146,-7.14008585030331,8.9455145057965e-08,3.55814535433201e-05,7.97300377691108
"ANTXR1","ENSG00000169604",6.2925616749326,2.51144630048138,7.1481359672689,8.76169731692989e-08,3.55814535433201e-05,7.97129825585205
"ANXA4","ENSG00000196975",6.66195159716799,1.63721081571787,7.13936684596946,8.96212205008064e-08,3.55814535433201e-05,7.94604638033263
"GLI2","ENSG00000074047",2.02391229885543,3.08955341800381,7.1118011233158,9.62306959685392e-08,3.66696857755239e-05,7.80044333103356
"PKD2","ENSG00000118762",4.29253100679023,1.41732610978289,7.08298345429374,1.03671878156359e-07,3.66696857755239e-05,7.79615590384664
"SPATS2","ENSG00000123352",2.84144972492622,1.3656277821333,7.10274204195274,9.85094234644261e-08,3.66696857755239e-05,7.88455410749397
"ADAMTS12","ENSG00000151388",3.58449664876679,2.64252488040025,7.08849208428406,1.02205528722651e-07,3.66696857755239e-05,7.84594628925291
"HEYL","ENSG00000163909",4.58141492201706,2.05617152963505,7.11290932453749,9.59556444541914e-08,3.66696857755239e-05,7.87634078787412
"FAM96A","ENSG00000166797",4.29990638735751,-1.03987026401291,-7.08571057091285,1.02943287358192e-07,3.66696857755239e-05,7.79926976941574
"COL5A1","ENSG00000130635",6.52634734489669,3.1838821493215,7.0731412854697,1.06345277179398e-07,3.69435896830001e-05,7.79411122919829
"ADAMTS2","ENSG00000087116",5.90297084103766,1.8090557806358,7.05710967072353,1.10850949754534e-07,3.77317470681431e-05,7.72474837722838
"PLXDC2","ENSG00000120594",6.09543370108164,1.45522288398533,7.05143093455606,1.1249312891705e-07,3.77317470681431e-05,7.70986689500149
"COL1A1","ENSG00000108821",8.00296039610153,3.20978359134458,7.03607809772113,1.17057862686628e-07,3.77562019147995e-05,7.71843817765491
"COL4A2","ENSG00000134871",8.06236497671366,2.35105887309538,7.00047197968615,1.28383360148956e-07,3.77562019147995e-05,7.62857621968443
"SERPINE2","ENSG00000135919",3.34962000440669,2.1375673824078,7.02941032846664,1.19098595652582e-07,3.77562019147995e-05,7.69722329904478
"PAPSS1","ENSG00000138801",3.12458492695091,1.30496863558636,7.03824833979357,1.16401339973783e-07,3.77562019147995e-05,7.72217130928118
"GUCY1A2","ENSG00000152402",4.58808573666093,1.42805188832533,7.01647256543012,1.23162149812922e-07,3.77562019147995e-05,7.61945159811481
"PLPP3","ENSG00000162407",7.18226961474132,-1.5686140651918,-7.01992668871361,1.22063658993308e-07,3.77562019147995e-05,7.65718771171176
"GPR176","ENSG00000166073",1.97250177458283,2.03567988533031,6.99268748886626,1.31004393932042e-07,3.77562019147995e-05,7.55512444493646
"AVPR1A","ENSG00000166148",4.64172198353076,-4.81318162436975,-6.98984788452115,1.31973976056665e-07,3.77562019147995e-05,7.60171155969554
"AL590666.2","ENSG00000229953",-0.353627272344759,4.50759483350299,6.99572341903348,1.29975785845003e-07,3.77562019147995e-05,6.73714512804596
"AQP1","ENSG00000240583",5.89167309264464,2.5779731782096,7.00472278314089,1.26974689896891e-07,3.77562019147995e-05,7.59929941745769
"VCAN","ENSG00000038427",4.95956815708205,2.63621963739566,6.96466833729075,1.40897266753526e-07,3.92237917412924e-05,7.49772278391124
"DCDC2","ENSG00000146038",4.02270684820079,3.88827513311647,6.96401637202036,1.41136291862366e-07,3.92237917412924e-05,7.53868310653692
