"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significance"
90574.733333516,-8.70989856649683,0.581548641181312,-14.9770766359358,1.03678105764597e-50,1.68860530858799e-46,"SAA2","Significant"
1109.7995126895,-6.84423572406607,0.482570060805282,-14.1828850978547,1.16938273302084e-45,9.52286828635522e-42,"SPINK1","Significant"
356.064154640359,5.82312920744167,0.476403581250006,12.2231012457184,2.33985108232709e-34,1.27030515259538e-30,"LGALS3","Significant"
348.592323299838,7.5940075706912,0.6256220716993,12.1383306539434,6.61620818245569e-34,2.6939545666914e-30,"KRT23","Significant"
70276.409011646,-6.46315985728289,0.538745216669095,-11.9966909353604,3.69787243636026e-33,1.20454496741999e-29,"ORM1","Significant"
562.0636973119,4.6227863980179,0.389791880403374,11.8596272278274,1.91827244629999e-32,5.20715055548133e-29,"IGF2BP2","Significant"
406.775469290771,5.1506206988736,0.438185474604783,11.7544304806524,6.70110408469948e-32,1.55915546039286e-28,"SOX4","Significant"
627.497375379578,-6.56589238433308,0.57789637519743,-11.3617123521322,6.48606791942533e-30,1.320482352546e-26,"CYP1A2","Significant"
4493.81703446756,4.23779048279488,0.375442879383765,11.2874440174511,1.51374789291414e-29,2.73937910354361e-26,"DTNA","Significant"
696.010990042135,4.56813955019741,0.413188425729994,11.0558265085154,2.05435826111258e-28,3.04175754534006e-25,"LINC02006","Significant"
619.62200218409,4.57172382571179,0.413304455362657,11.061394975044,1.93071111746508e-28,3.04175754534006e-25,"CREB5","Significant"
26809.7991173624,-3.99083647702743,0.369398794978411,-10.8035990676707,3.30970461557766e-27,4.49209658949277e-24,"CRP","Significant"
3201.55752548576,4.89111137702926,0.463380997330892,10.555269648955,4.80258643638401e-26,6.01690194533742e-23,"CYP3A7","Significant"
3541.7121763504,-5.0215280585119,0.485441236193608,-10.3442552550463,4.44357700497399e-25,4.82483591200076e-22,"LRG1","Significant"
459.167691595624,4.63692880349569,0.448227359989895,10.3450374015549,4.4074416538823e-25,4.82483591200076e-22,"GDF15","Significant"
17302.0326594907,-5.69677524044001,0.555444449726696,-10.256246584592,1.1093523589465e-24,1.1292513668851e-21,"ORM2","Significant"
449.741975143504,5.42327571728737,0.529511120110641,10.2420431060148,1.28493804646922e-24,1.23104623310848e-21,"AKR1B10","Significant"
3888.5053893114,3.75002179245009,0.380160133991803,9.86432152438939,5.94348956747402e-23,5.37786747696941e-20,"CHST9","Significant"
1114.69029946323,4.08633247651126,0.42389771019911,9.63990221742849,5.42396178337206e-22,4.64947713504109e-19,"PTCHD1-AS","Significant"
1387.9528261127,-4.56786161910188,0.483316683285457,-9.45107375158413,3.35372495045751e-21,2.73110591340507e-18,"MT1M","Significant"
1120.41814020689,4.99196092132807,0.529229828168874,9.43250107160469,4.00424953547733e-21,3.10558153258663e-18,"DCDC2","Significant"
281.741415841763,-5.39389173401901,0.577030931953333,-9.34766480500432,8.96041274455791e-21,6.63355647139158e-18,"IGFALS","Significant"
122.969675853892,5.71664663423218,0.620502862326029,9.21292548563377,3.17355315660391e-20,2.24728957659165e-17,"BDKRB2","Significant"
10121.8112388937,3.15411093703215,0.345047255234775,9.14109847037052,6.18211456637972e-20,4.19533749760944e-17,"LEPR","Significant"
173.415987934802,4.48383403204539,0.492204267253838,9.10970166321822,8.26088174811568e-20,5.3817992412624e-17,"AC092071.1","Significant"
177.870084048499,4.42329412696753,0.488816328894503,9.048990112444,1.44296643462868e-19,8.99293892709213e-17,"MYO7B","Significant"
128914.756792896,-5.02764632506752,0.555821904398591,-9.04542675500981,1.49081691552458e-19,8.99293892709213e-17,"HP","Significant"
38359.0576494067,-3.65745856618081,0.408114837037007,-8.96183680244186,3.19314202693724e-19,1.79333462733541e-16,"FGA","Significant"
1759.86547510655,4.74659103870387,0.529420584823748,8.96563370365376,3.08501751001877e-19,1.79333462733541e-16,"BICC1","Significant"
228.375769788082,4.82052386978155,0.538129427788614,8.95792651517123,3.30840855644001e-19,1.79613500529128e-16,"LINC02331","Significant"
487.212313338916,4.23598616776546,0.477983978204212,8.86219279499717,7.84557692224085e-19,4.12196488169473e-16,"COL4A1","Significant"
853.455656493268,3.65473607467837,0.412699219144513,8.85568933775619,8.31682160898109e-19,4.23300229829609e-16,"NEBL","Significant"
9878.92146945373,-3.66737091527316,0.416950189947621,-8.79570510744671,1.42152470689643e-18,7.01587057612791e-16,"CFB","Significant"
7045.28847191342,2.92449077416276,0.333343095010126,8.77321539860882,1.73635438537449e-18,8.31764819841009e-16,"ADGRL2","Significant"
2229.81066957988,-4.28388092134211,0.488664730676464,-8.76650319210043,1.84300887324588e-18,8.57631014815873e-16,"PLA2G2A","Significant"
272.271975135287,4.02884601113276,0.46119556198197,8.73565650506036,2.42245055710038e-18,1.09595700620816e-15,"TNFRSF21","Significant"
511.795418605687,3.86178333566905,0.444360990529284,8.69064435892365,3.60389555455712e-18,1.58639586208302e-15,"ADARB2","Significant"
485.660789282572,3.75909929948309,0.43650919678111,8.61172989527667,7.1966245779492e-18,3.08451117108049e-15,"TAFA5","Significant"
16215.6157920619,-3.67039051137656,0.426475236938227,-8.60633911062976,7.54308973761889e-18,3.15011032196407e-15,"VTN","Significant"
418.185685267794,4.07464448952984,0.475603098586101,8.56732115842636,1.05920180413124e-17,4.24320418374171e-15,"STK39","Significant"
281.458401726904,3.9151389473506,0.457036959395889,8.5663508538251,1.06816093530675e-17,4.24320418374171e-15,"LRRC1","Significant"
413.15372298,4.07503302628009,0.478398839340627,8.51806628940963,1.62239337840331e-17,6.29140975096539e-15,"CATSPERB","Significant"
511.978751179174,3.15602245761966,0.370652619017089,8.51477177198673,1.66918717877003e-17,6.32233757689011e-15,"WEE1","Significant"
57684.5028242974,-3.78189035161467,0.445273691892168,-8.49340623638399,2.00667370501435e-17,7.42788514399289e-15,"SERPINA1","Significant"
108.654060561007,4.59428221337229,0.541985335779697,8.47676479431493,2.31542383565092e-17,8.3802906691659e-15,"DUSP8","Significant"
3863.60984094912,-3.64000968007575,0.431350083266612,-8.43864374039291,3.21040982645947e-17,1.13669445312055e-14,"SAA4","Significant"
42895.9339649279,-3.40188844734749,0.404258752380941,-8.41512627076488,3.92471919533122e-17,1.36004045817786e-14,"FGB","Significant"
301.309382328207,5.14238499175811,0.617059391396586,8.33369536783063,7.83573834144977e-17,2.65876396598318e-14,"AC098617.1","Significant"
456.015407840676,4.03086813787329,0.488278320033621,8.25526748268436,1.51562417590357e-16,5.03774917406969e-14,"GPRIN3","Significant"
27183.3170237992,-4.35410623401047,0.531361941467912,-8.19423804042506,2.52185551005406e-16,8.2146921384501e-14,"SERPINA3","Significant"
1073.88902075374,-3.51516034994576,0.429467000091204,-8.18493702472893,2.72446084102387e-16,8.70064582701093e-14,"CALR","Significant"
514.283507577732,3.6442745669384,0.449688418485737,8.1039991628203,5.31814717285626e-16,1.66570505777519e-13,"COL4A2","Significant"
584.191478909974,-3.03958581320889,0.375402769195188,-8.0968657203178,5.63932604514819e-16,1.73297553391186e-13,"SLC16A10","Significant"
84.6388853827846,5.28066184302342,0.656202163089852,8.04730941171912,8.46340219561757e-16,2.55265614000043e-13,"AL138799.4","Significant"
389.658516324464,3.33929958384829,0.417451000598165,7.999261180506,1.25167965286342e-15,3.57650991336605e-13,"PCNX2","Significant"
