"gene_name","gene_id","baseMean","log2FoldChange","stat","pvalue","padj","B_statistic"
"HKDC1","ENSG00000156510",2.81540835173466,5.12627293271847,6.72209856102619,2.65582717450228e-07,0.000283011706658816,6.7926476542819
"HEYL","ENSG00000163909",4.58141492201706,2.22211270882842,6.68942460863148,2.89396600042932e-07,0.000283011706658816,6.83892716146915
"ROBO1","ENSG00000169855",4.73859528376557,1.67223134922556,6.65498750008244,3.16848918585587e-07,0.000283011706658816,6.74429143003838
"FMOD","ENSG00000122176",4.60796265270056,1.92408980048887,6.61275401002618,3.54156112239002e-07,0.00029955447858685,6.64176934132266
"EPHA3","ENSG00000044524",4.63760134558135,2.15908747119341,6.55070289808192,4.17220224440457e-07,0.000333392884220388,6.48326038534646
"PJA1","ENSG00000181191",2.55943916810779,1.1784558311191,6.54067105597846,4.28437447594824e-07,0.000333392884220388,6.46407010912275
"PKIB","ENSG00000135549",0.616480731204397,2.06018960814588,6.4725911511736,5.13092198051605e-07,0.000346601918109503,5.90244081746357
"ADRB2","ENSG00000169252",2.68151950850194,-1.96369933382723,-6.47150683709191,5.14569726736199e-07,0.000346601918109503,6.25612588431046
"S100A14","ENSG00000189334",2.17912583789181,2.22417687376486,6.46996502368128,5.16678093203227e-07,0.000346601918109503,6.26482664955452
"COL5A2","ENSG00000204262",5.70484289924428,1.41120271119885,6.48931421943316,4.90841780740798e-07,0.000346601918109503,6.31828858147744
"ITGB5","ENSG00000082781",6.34901242773741,0.999962440907783,6.43514159858314,5.66702814146776e-07,0.00036748788488038,6.1885038868052
"EFEMP1","ENSG00000115380",4.994015656202,2.69770313661296,6.34280728626859,7.24465275919406e-07,0.000444778401088077,5.95545648721311
"GUCY1A2","ENSG00000152402",4.58808573666093,1.48469174366163,6.32757335455087,7.54481712547884e-07,0.000444778401088077,5.90105703129901
"STXBP4","ENSG00000166263",3.52913179600932,1.43608035812933,6.32986454186782,7.49887985751851e-07,0.000444778401088077,5.93039391672757
"RGS9","ENSG00000108370",2.26365835879099,1.6555395681517,6.30506471492366,8.01154456681569e-07,0.000458401729420095,5.85565190227492
"GOLM1","ENSG00000135052",5.2918268221079,2.13608337079722,6.2054173380454,1.04557843201486e-06,0.000464486538052317,5.58925929936053
"TMBIM1","ENSG00000135926",6.28319369545143,1.0394368252594,6.26507563091849,8.91409663395929e-07,0.000464486538052317,5.75307954581762
"FBLN5","ENSG00000140092",5.65778602313873,1.76512277840595,6.20943628855508,1.03439231688002e-06,0.000464486538052317,5.59861169884235
"DCDC2","ENSG00000146038",4.02270684820079,3.79430053706022,6.20009145719447,1.06059105649378e-06,0.000464486538052317,5.60861047931343
"GSN","ENSG00000148180",6.14089283386641,1.48799294668552,6.20005511985162,1.06069423020453e-06,0.000464486538052317,5.58317853350607
"EDIL3","ENSG00000164176",0.856500155019947,3.32896476579207,6.19525030181013,1.07442655558519e-06,0.000464486538052317,5.25585429577238
"SLC35G1","ENSG00000176273",2.27788927663235,1.46546301655562,6.24802149081723,9.32970402113197e-07,0.000464486538052317,5.72500764158871
"FIBIN","ENSG00000176971",0.834791229198904,2.1113939237552,6.19794541000683,1.06670184055045e-06,0.000464486538052317,5.31656828927137
"B3GNT3","ENSG00000179913",2.0612691259649,4.63709405168838,6.19713610803668,1.06901553743444e-06,0.000464486538052317,5.47134808880117
"LAMA2","ENSG00000196569",6.04452844979194,2.63335735217627,6.21856094327013,1.00944282561911e-06,0.000464486538052317,5.63753717516554
"ITGBL1","ENSG00000198542",3.13154578971983,3.19064987947472,6.28534538052811,8.44442171680513e-07,0.000464486538052317,5.822744284179
"ANXA4","ENSG00000196975",6.66195159716799,1.71577807402245,6.18223101798639,1.11254732725011e-06,0.00047051077618095,5.54894261746276
"RANBP3L","ENSG00000164188",1.73719817664551,-3.15866624527814,-6.16851244421274,1.15419810914111e-06,0.000470532657754879,5.34820006991696
"FAM19A5","ENSG00000219438",1.01329286913384,3.58093117002536,6.16632847428988,1.16097293987016e-06,0.000470532657754879,5.34567116056229
"DIRAS2","ENSG00000165023",0.227490947542152,2.46407116943378,6.14865735143166,1.21729116633848e-06,0.000483289435713239,4.94713956638346
