Gene,Log2change,p-value,adj_pvalue
2AAB,-0.176714799524001,0.22939784451029,0.359591552706708
2ABA,0.0638713270867168,0.169554968827174,0.285570182455956
2ABD,0.248325021488697,0.349835961604037,0.484952435478577
2B11,0.314012870623366,0.00693321951982687,0.0252027458374749
2B13,0.345616599271264,0.0143925036286944,0.0443962941976311
2B14,0.0819572879727622,0.457344043533571,0.587674453660997
2B17,0.751365069399356,0.0563846572071425,0.124166040993047
2B18,0.671251907554641,0.219107870059098,0.34664962115373
2B1B,-0.132821674685842,0.68786742395921,0.780927048811004
2B1E,0.429398733129136,0.153137591482031,0.264226047152317
2B1F,0.356770481533396,0.181047904582439,0.299339820682756
2B1G,-0.480917880642331,0.114009134607722,0.211690865271298
3BHS1,0.751618292572525,0.0119394190744562,0.0382680084835266
3BHS7,-0.135697293725598,0.147496724870336,0.257055187401835
3BP1,0.0746986102525708,0.517082280289075,0.641432767388889
3BP2,0.261037474923738,0.104364682134598,0.198039859468671
3HAO,-0.740347716844865,0.00012199664864329,0.0012873653691804
3HIDH,-0.728135384134288,1.10302215160373e-07,1.59626035901898e-05
3MG,0.0328301727160598,0.487919105372716,0.615111692670732
41,0.0322430388429063,0.652441345356863,0.752401912327039
4EBP2,0.157039572355096,0.59044520124819,0.702495009774307
4ET,0.00617700624975483,0.972255929070305,0.982633150081597
4F2,-0.131932934621295,0.0114273815719292,0.0369511031436328
5NT3A,0.2058277159344,0.162469697442528,0.276000571292179
5NT3B,-0.0518901768700425,0.591191730266116,0.702796120759626
5NTC,0.0380501837603876,0.686042341396552,0.779662877242785
5NTD,0.106417466776147,0.294917896866058,0.430287287228964
68MP,-0.350624701540596,0.0176933375286161,0.0521351897212776
6PGD,-0.136078829731949,0.0806074892527774,0.16159420872159
6PGL,0.0327767054897425,0.681250831710531,0.7762879036131
A16A1,0.28852696460244,0.123588978068152,0.224680602460945
A16L1,-0.0690153182091458,0.452478248510036,0.583572921821419
A1AG1,-0.702804766977462,0.00066080491480951,0.00429887506072005
A1AG2,-0.383193768020319,0.040260372153232,0.0964996547170113
A1AT,0.430878932684718,0.0197078877938732,0.0562558613245283
A1ATR,1.45168198307003,0.129402028525575,0.232438772550623
A1BG,0.197049884957316,0.033710989471489,0.0841278464760681
A1CF,-0.372236747763701,7.51284790700495e-05,0.000893388270491906
A2AP,0.149738855583526,0.0271200200691158,0.0713586805935225
A2GL,-0.280831964923214,0.016918603195305,0.0503357977145032
A2MG,0.675935533942757,4.75501874667036e-06,0.000152598300363856
A4,0.120935094652581,0.100853515131747,0.192904354379177
AAAD,-0.134794874477172,0.302746040422126,0.437959662398662
AAAS,-0.174660672139715,0.137209971889948,0.242936399906718
AAAT,-0.0396987451886561,0.796907657721032,0.864537727683213
AACS,0.290217518854374,0.369584539581078,0.505324037388124
AACT,-0.306436200941216,0.0117074398199529,0.0376686575907951
AADAT,-0.890628412649587,7.58563159622775e-09,4.1558424530762e-06
AAGAB,-0.202402298489402,0.0566513559074277,0.124642170178689
AAK1,0.195172213092715,0.0534659695116974,0.119375614803415
AAKB1,-0.506105274051387,0.0226029668055251,0.0621156414899239
AAKB2,-0.437468493054484,0.00041686740426019,0.00308626736551704
AAKG1,-0.185921027814763,0.0235564098626892,0.0641611021473104
AAMDC,0.10546556642073,0.630109498830525,0.735047886848688
AAMP,0.255366485935119,0.0118396564027789,0.0380117892881181
AAPK1,-0.125417023048861,0.0428168613457812,0.10107889397419
AAPK2,0.0561635451112632,0.681758476328132,0.776520272265633
AAR2,-0.235171156409635,0.02503823261708,0.0674072461119704
AASD1,0.118502730346242,0.0317384528771154,0.0806702680117229
AASS,-0.508632039634376,4.22461775985047e-05,0.000602636734583138
AATC,0.245588128628476,0.0691125178691619,0.144204475788219
AATF,-0.259770701477093,0.0344527621426934,0.0857963265046943
AATM,-0.674269650063653,0.0012247444322615,0.00695340405004683
AB17B,-0.254853584418397,0.45268958740861,0.583715872744331
AB1IP,-0.24903748264492,0.037383408050488,0.0914822338403644
ABC3C,0.283753932791448,0.190658918543943,0.310940656013617
ABC3F,-0.236873005300845,0.0987320119696653,0.189958778134799
ABCA1,-0.419582367814249,0.00012613769532469,0.00131579743475501
ABCA2,0.252200570077038,0.0604241994462859,0.130623903538053
ABCA6,-0.34566263713298,0.00016633560945893,0.00160275643787688
ABCA8,0.115605594175197,0.491571457421039,0.61829338773686
ABCA9,0.267923595557928,0.0497335166709487,0.112990542910597
ABCB5,0.319442919501117,0.0615526758722996,0.132428898721049
ABCB6,-0.430999361027198,0.0147724428751007,0.0452133427182851
ABCB7,-0.0885843952094235,0.201926417244661,0.325920795510638
ABCB8,-0.0153597023425647,0.87199544453131,0.917798043983517
ABCBA,-0.472616702729883,1.85062612845928e-05,0.000345464955193171
ABCBB,-0.330389257172437,0.00173619647185101,0.00899164546866796
ABCC8,0.0556147901587727,0.914426199101942,0.947216171292916
ABCC9,-0.193125925050995,0.107578214410702,0.202434961857234
ABCCB,-0.171667569084185,0.633336293470825,0.73791422921483
ABCD1,-0.00239048359864228,0.981488133721413,0.988440987381727
ABCD3,-0.170971316134213,0.0742528295487362,0.152196473179799
ABCD4,-0.583867593710082,0.0518406475068047,0.116603450550496
ABCE1,0.0730454018472925,0.155257997577018,0.267121767926363
ABCF1,-0.139102831192948,0.0152224524253489,0.0463870520867803
ABCF2,-0.283886190708622,0.00135409614694818,0.00748264945755947
ABCF3,-0.111250136004938,0.0136091033339028,0.0424143935680758
ABCG8,-0.413108843265565,0.0461636901683155,0.106810106663946
ABD12,0.0156680405632189,0.844901786706662,0.900305182556279
ABHD2,-0.383694101454047,0.00617959685289895,0.0231207355423097
ABHD4,0.177420936078706,0.355561726771494,0.490672624026153
ABHD5,0.129057108990678,0.506762231975186,0.632876368891187
ABHD6,-0.280293485301231,0.0142781619617833,0.0441053170547233
ABHDA,-0.432681738119977,2.55374012046005e-06,0.000103289440317438
ABHDB,-0.0438282748257529,0.613082776106104,0.721439842395492
ABHEB,-0.610253288460328,1.37245180944375e-06,7.11263876921187e-05
ABHGA,-0.219345792401131,0.00411052175564095,0.0171253133437078
ABI1,0.211834385054343,0.00425014980189733,0.0175611511900136
ABI2,0.299378853002065,0.00371459900557565,0.015952393265826
ABI3,0.0577659648649531,0.630022829147932,0.735047886848688
ABL1,0.257938319256244,0.137842012396467,0.243830312518658
ABLM1,0.14503533839066,0.0145952635109051,0.0447424744718793
ABLM2,0.373503840366719,0.00057907996635798,0.003872313288549
ABLM3,-0.13282727242274,0.0149947242770584,0.0458022840322732
ABR,0.333650085418564,0.00083835051726718,0.00520110133876281
ABRAL,-0.207785883538313,0.233544538843831,0.364453023994341
ACACA,-0.498353804705414,7.6717475218082e-06,0.000198122233980703
ACACB,-0.732946559164435,1.34737424066947e-07,1.71527358427639e-05
ACAD8,-0.0563424544646802,0.405289104177056,0.541279371241167
ACAD9,-0.106145385832024,0.120154672784353,0.220422468370243
ACADL,-0.180842892952757,0.371583105866215,0.507395837990719
ACADM,-0.499301649194226,0.00098033509210561,0.00583333604069048
ACADS,-0.754652409808779,0.00010817806253975,0.00118026421007096
ACADV,-0.157175203942834,0.0273194236903136,0.0717111497962715
ACAP1,0.0589021818945599,0.564064717674217,0.680034012034147
ACAP2,0.230475446294805,0.00469452817297705,0.0188716095842421
ACATN,-0.545138122821985,0.00040870232211085,0.00305233379804306
ACBD4,-0.575192940089522,0.106319438535707,0.20050899768106
ACBD5,-0.250926071700452,0.0749908402130718,0.153256881624733
ACBD6,0.00685803177112773,0.96148767905198,0.975606627639726
ACBG1,0.083060656463752,0.809651427822081,0.873544303192483
ACBG2,0.615803672877963,0.293710984324862,0.42926128997174
ACBP,-0.612995101847568,1.91802221871281e-05,0.000354487479940416
ACD10,-0.245526529363155,0.00750004250836895,0.026743526749972
ACD11,-0.5576518469361,4.02529606899107e-06,0.000136008902419214
ACDSB,-0.904949765674034,6.29972170376592e-07,4.40815664040017e-05
ACE,-0.185976432213842,0.160948724310213,0.27434972421226
