Gene,Log2change,p-value,adj_pvalue
AATF,0.00764618348324545,0.919061205061555,0.939019631654523
AATM,-0.254384818942282,0.0679919487501938,0.106328714340595
AB17B,-0.534467054338274,0.00243094055800039,0.00584516589140885
AB1IP,-0.0799385240587066,0.38684374234917,0.463779725911466
ABC3C,0.266324804400069,0.0583453305271965,0.0929957798694171
ABC3F,0.0206166950496084,0.823563929286351,0.862110877543547
ABCA1,-0.278323815152447,7.38436695581332e-06,3.37946473493805e-05
ABCA2,0.090697638068085,0.630719583623096,0.694538648099873
ABCA6,-0.565029734198722,1.02664413346371e-14,4.39499791165916e-13
ABCA8,-0.107516476335625,0.349187873011559,0.425779650467318
ABCA9,0.224211954593901,0.0144589711942827,0.0277594978191305
ABCB5,0.53620014711605,0.00087674353683797,0.00235959299973553
ABCB6,-0.402418764290998,6.25563202829525e-05,0.000225764531011816
ABCB7,-0.049119112677009,0.338657316448883,0.415418897359129
ABCB8,0.0741738387142969,0.339246696162157,0.415760404635833
ABCBA,-0.301661388968064,9.99958976672069e-06,4.42666865404572e-05
ABCBB,-0.348860132663185,1.0491570108423e-07,7.47170742731456e-07
ABCC8,-0.619051411117677,0.00589808272410344,0.0126909108475131
ABCC9,-0.55419785903946,3.35839958751163e-06,1.66218160469787e-05
ABCCB,-0.320102219272346,0.10932043229355,0.159184082954714
ABCD1,-0.0212693486572914,0.790304773062273,0.834625795248089
ABCD3,-0.408122708198208,1.81860690763309e-09,1.99044563346557e-08
ABCD4,-0.706095523517736,0.00017893692350718,0.000574325000741015
ABCE1,0.106419346866928,0.0041738153468272,0.00938378765038423
ABCF1,-0.112293118589779,0.00546982759936499,0.0118553903810956
ABCF2,-0.0856014129599011,0.212669360848109,0.280793427156744
ABCF3,-0.183591953590022,6.31493752958467e-08,4.73988890839254e-07
ABCG8,-0.217125224984619,0.0662282270692608,0.103970905405171
ABD12,0.122167770021442,0.0481691604722722,0.0785778524744297
ABHD2,-0.0848208007734857,0.429900048897584,0.505656825806975
ABHD4,0.211852015053675,0.114893230977754,0.16582794055824
ABHD5,0.297108051920992,0.0146919240715005,0.0281367302396867
ABHD6,-0.211361140147184,0.00386420784322635,0.00877464029380062
ABHDA,-0.640605196188734,9.45838600794058e-13,2.53405925129408e-11
ABHDB,0.127266121594513,0.0723780793108524,0.112026811362925
ABHEB,-0.973626703366126,8.3617215157302e-18,8.48934779149661e-16
ABHGA,-0.203326466404494,0.0001318700611289,0.000437826760615573
ABI1,0.0852587571810229,0.175641810211241,0.23877673426729
ABI2,0.569522200950338,2.38589159685657e-05,9.64860564011808e-05
ABI3,0.212422416146675,0.0406694498327727,0.0677765604556532
ABL1,0.746135590015344,0.0101567272588827,0.0203887220103986
ABLM1,0.17448184323724,0.00026095321906411,0.000799966244854459
